,link,source,lean
0,https://www.npr.org/2021/02/22/967439914/as-cities-grapple-with-climate-change-gas-utilities-fight-to-stay-in-business,NPR,Centrist
1,https://www.npr.org/2021/02/21/969949310/mediterranean-oil-spill-injures-wildlife-closes-israels-beaches,NPR,Centrist
2,https://www.npr.org/2021/02/21/969527300/ropeless-lobster-fishing-could-save-the-whales-could-it-kill-the-industry,NPR,Centrist
3,https://www.npr.org/2021/02/19/969387323/u-s-officially-rejoins-paris-agreement-on-climate-change,NPR,Centrist
4,https://www.npr.org/2021/02/12/967432968/texas-is-defined-by-energy-how-did-the-states-power-grid-fail-so-massively,NPR,Centrist
5,https://www.npr.org/2021/02/16/968498810/how-octavia-butlers-sci-fi-dystopia-became-a-constant-in-a-mans-evolution,NPR,Centrist
6,https://www.npr.org/2021/02/16/968357225/texas-governor-calls-for-investigation-into-group-that-manages-state-power-grid,NPR,Centrist
7,https://www.npr.org/2021/02/15/967377462/pillagers-of-tropical-forests-cant-hide-behind-clouds-anymore,NPR,Centrist
8,https://www.npr.org/2021/02/10/966424041/saving-sea-level-records-what-historical-records-tell-us-about-the-rising-ocean,NPR,Centrist
9,https://www.npr.org/2021/02/10/965335665/facing-a-reckoning-wyoming-wrestles-with-a-transition-from-fossil-fuels,NPR,Centrist
10,https://www.npr.org/2021/02/09/965830153/when-defending-the-land-puts-your-own-life-at-risk,NPR,Centrist
11,https://www.npr.org/2021/02/08/965372754/elon-musk-funds-100-million-xprize-for-pursuit-of-new-carbon-removal-ideas,NPR,Centrist
12,https://www.npr.org/2021/02/08/965306203/under-a-white-sky-examines-what-it-might-take-for-humans-to-continue-to-exist,NPR,Centrist
13,https://www.npr.org/2021/02/08/963673676/near-coasts-rising-seas-could-also-push-up-long-buried-toxic-contamination,NPR,Centrist
14,https://www.npr.org/2021/02/03/963667177/biden-promises-to-grapple-with-environmental-racism,NPR,Centrist
15,https://www.npr.org/2021/02/03/963811844/could-we-pay-back-the-earth-for-what-it-provides-a-new-report-offers-a-roadmap,NPR,Centrist
16,https://www.npr.org/2021/02/02/963485713/explosion-on-movie-set-ignites-california-brush-fire-critically-injures-three,NPR,Centrist
17,https://www.npr.org/2021/02/02/963014373/how-fast-will-biden-need-to-move-on-climate-really-really-fast,NPR,Centrist
18,https://www.npr.org/2021/01/14/955997915/federal-scientists-confirm-virtual-tie-for-hottest-year-on-record,NPR,Centrist
19,https://www.npr.org/2021/01/29/962235538/after-bidens-first-actions-on-climate-change-how-much-more-can-he-do-alone,NPR,Centrist
20,https://www.npr.org/2021/01/28/961777665/general-motors-aims-to-be-carbon-neutral-by-2040,NPR,Centrist
21,https://www.npr.org/2021/01/21/959233876/a-pesky-rumble-pink-bollworms-vs-cotton-farmers,NPR,Centrist
22,https://www.npr.org/2021/01/22/959583731/u-n-treaty-banning-nuclear-weapons-takes-effect-without-the-u-s-and-others,NPR,Centrist
